objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	farmland_250	clearcuts250
945825	0	1	0	23/05/2018	5:32:00 AM	30520	03/06/2013	forest	clearcut	10	0	0	40	35	0	5	10	100	yes	yes	1.5	forest	open	forest	forest	0.75	539.12787	109.48253	0	31191
945834	0	2	0	24/05/2018	7:18:00 AM	49221	03/06/2013	forest	clearcut	40	30	0	20	10	0	0	0	100	yes	no	1.5	forest	clearcut	open	clearcut	0.25	8.63504	91.03162	92727	31631
945836	0	1	0	21/05/2018	5:36:00 AM	20537	03/06/2013	forest	clearcut	0	100	0	0	0	0	0	0	100	no	no	2	clearcut	clearcut	clearcut	clearcut	0	679.76894	12.43689	0	167099
945840	0	0	0	24/05/2018	6:45:00 AM	8260	03/06/2013	forest	clearcut	10	45	0	45	0	0	0	0	100	no	yes	2	open	forest	forest	forest	0.75	8.96101	69.6073	114239	35325
945841	0	0	0	24/05/2018	6:53:00 AM	3709	03/06/2013	forest	clearcut	15	35	0	30	5	0	15	0	100	no	no	1.5	forest	forest	forest	forest	1	136.91208	10.02305	41445	54338
945874	0	2	1	31/05/2018	6:22:00 AM	8777	03/06/2013	forest	clearcut	10	70	0	0	20	0	0	0	100	no	yes	2	forest	forest	forest	open	0.75	26.63763	326.7247	101949	38503
946187	0	0	0	21/05/2018	5:00:00 AM	30120	03/06/2013	forest	clearcut	50	25	0	10	15	0	0	0	100	yes	yes	1	forest	clearcut	forest	forest	0.75	522.50845	17.2642	54683	101813
946960	0	3	1	21/05/2018	5:59:00 AM	28899	03/06/2013	forest	clearcut	50	25	0	0	25	0	0	0	100	yes	no	1	clearcut	clearcut	open	clearcut	0	5.95552	10.47672	165779	44828
1037366	0	0	0	05/06/2018	6:59:00 AM	11538	03/06/2013	forest	clearcut	25	0	0	50	0	0	25	0	100	no	no	2	clearcut	forest	forest	forest	0.75	399.54129	177.93254	39383	24283
1255800	0	0	0	22/05/2018	5:56:00 AM	22246	09/07/2014	forest	clearcut	30	20	0	35	5	0	5	5	100	no	yes	1.5	forest	clearcut	clearcut	clearcut	0.25	217.95792	4.80829	1194	120166
1255801	0	0	0	25/05/2018	7:07:00 AM	10287	09/07/2014	forest	clearcut	10	20	0	60	10	0	0	0	100	no	yes	1.5	forest	forest	forest	clearcut	0.75	626.57241	226.37249	0	23845
1256212	0	1	0	21/05/2018	5:25:00 AM	29755	09/07/2014	forest	clearcut	10	20	0	60	5	0	0	5	100	no	yes	2	clearcut	clearcut	forest	clearcut	0.25	590.00396	13.55093	3468	171428
1256214	0	0	0	25/05/2018	5:49:00 AM	6035	22/05/2014	forest	clearcut	35	0	5	30	0	30	0	0	100	no	no	0.5	open	open	forest	forest	0.5	14.01099	625.58163	147255	24371
1256215	0	1	0	25/05/2018	5:45:00 AM	8684	22/05/2014	forest	clearcut	60	0	10	10	0	20	0	0	100	yes	no	1	forest	forest	forest	clearcut	0.75	70.60303	767.36767	143987	25352
1256216	0	0	0	28/05/2018	7:36:00 AM	36175	09/07/2014	forest	clearcut	20	20	0	50	5	5	0	0	100	yes	yes	1	forest	forest	forest	forest	1	316.591	129.13139	36629	21753
