objectID	spontaneous	yellowhammers	shrikes	date	time	areasize	cuttingdate	type_lvl1	type_lvl2	grass	spruce	shrubs	birch	raspberry	branches	bare	stones	total	trees	stubs	vegheight	edgeN	edgeE	edgeS	edgeW	edges	distfl10ha	distcc	propfl_250	propcc_250
1575188	0	0	1	04/06/2018	6:32:00 AM	48118	21/07/2016	forest	clearcut	25	25	0	10	0	30	5	5	100	yes	yes	0.5	forest	clearcut	clearcut	forest	0.5	663.82596	11.2652	0.00	0.311877347
1663023	0	0	0	28/05/2018	7:02:00 AM	3559	21/07/2016	forest	clearcut	15	25	0	0	0	0	60	0	100	no	yes	0.5	forest	forest	forest	forest	1	444.34669	158.20251	0.02	0.099506501
1663029	0	0	0	28/05/2018	6:50:00 AM	10084	21/07/2016	forest	clearcut	60	0	10	5	0	0	20	5	100	yes	yes	0.5	forest	forest	forest	forest	1	166.87962	203.4227	0.04	0.042828226
1663414	0	0	0	04/06/2018	7:10:00 AM	11829	21/07/2016	forest	clearcut	15	0	0	10	0	15	55	5	100	no	yes	0.5	forest	forest	forest	open	0.75	170.35742	286.17865	0.08	0.052819861
1663415	0	0	0	04/06/2018	7:00:00 AM	9547	21/07/2016	forest	clearcut	40	5	0	0	0	0	50	5	100	yes	yes	0	forest	forest	forest	forest	1	372.02622	268.43858	0.03	0.098143774
1663416	0	0	0	20/05/2018	8:27:00 AM	13625	21/07/2016	forest	clearcut	10	5	0	5	0	10	60	10	100	no	yes	0	forest	forest	forest	forest	1	388.27704	103.74709	0.04	0.057597709
1663417	0	0	0	31/05/2018	6:40:00 AM	12892	21/07/2016	forest	clearcut	45	5	0	0	20	5	20	5	100	no	yes	0.2	forest	forest	forest	clearcut	0.75	187.1552	415.98976	0.05	0.121788444
1663421	0	1	2	24/05/2018	7:36:00 AM	49297	21/07/2016	forest	clearcut	10	5	0	15	5	15	45	5	100	yes	yes	0.2	open	forest	forest	open	0.5	1.31071	13.61752	0.41	0.018299785
1736480	0	0	0	16/05/2018	5:47:00 AM	20051	27/05/2017	forest	clearcut	50	0	0	0	0	20	20	10	100	yes	yes	0.2	forest	forest	forest	forest	1	488.38083	235.43138	0.01	0.003157279
1736483	0	0	0	25/05/2018	8:05:00 AM	18716	27/05/2017	forest	clearcut	70	0	0	0	0	5	20	5	100	no	yes	0.2	forest	forest	forest	forest	1	183.81718	38.11762	0.06	0.160357058
1736484	0	0	0	21/05/2018	6:21:00 AM	9995	27/05/2017	forest	clearcut	35	0	0	25	10	15	10	5	100	no	yes	0.5	forest	forest	clearcut	forest	0.75	53.09515	119.84873	0.25	0.173992758
1736485	0	0	0	15/05/2018	8:31:00 AM	13745	27/05/2017	forest	clearcut	30	10	0	10	0	40	10	0	100	no	yes	0.2	forest	forest	forest	forest	1	65.35846	430.32982	0.22	0.009846288
1736489	0	1	0	31/05/2018	7:37:00 AM	19554	27/05/2017	forest	clearcut	40	5	10	20	20	5	0	0	100	yes	yes	0.5	forest	forest	forest	forest	1	37.21902	3.83257	0.21	0.036316316
1736490	0	1	0	23/05/2018	7:18:00 AM	15321	27/05/2017	forest	clearcut	30	0	20	15	0	30	5	0	100	yes	yes	0.5	forest	forest	forest	forest	1	69.34099	136.92242	0.10	0.095956049
